Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Gastroenterite,olhos_fundos,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômito,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômito,olhos_fundos,diarreia,,,,,,,,,,,,,,
Asma brônquica,fadiga,tosse,febre_alta,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,
Asma brônquica,tosse,febre_alta,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,,
Asma brônquica,fadiga,febre_alta,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,,
Asma brônquica,fadiga,tosse,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,,
Asma brônquica,fadiga,tosse,febre_alta,histórico_familiar,escarro_mucoide,,,,,,,,,,,,
Asma brônquica,fadiga,tosse,febre_alta,falta_de_ar,escarro_mucoide,,,,,,,,,,,,
Asma brônquica,fadiga,tosse,febre_alta,falta_de_ar,histórico_familiar,,,,,,,,,,,,
Asma brônquica,fadiga,tosse,febre_alta,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,
Asma brônquica,tosse,febre_alta,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,,
Asma brônquica,fadiga,febre_alta,falta_de_ar,histórico_familiar,escarro_mucoide,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,dor_no_peito,tontura,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,
Hipertensão,dor_no_peito,tontura,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,tontura,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,dor_no_peito,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,dor_no_peito,tontura,falta_de_concentração,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,dor_no_peito,tontura,perda_de_equilíbrio,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,dor_no_peito,tontura,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,
Hipertensão,dor_no_peito,tontura,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,tontura,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,,
Hipertensão,dor_de_cabeça,dor_no_peito,perda_de_equilíbrio,falta_de_concentração,,,,,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,visão_turva,fome_excessiva,rigidez_no_pescoço,depressão,irritabilidade,distúrbios_visuais,,,,,,,,
Enxaqueca,indigestão,dor_de_cabeça,visão_turva,fome_excessiva,rigidez_no_pescoço,depressão,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,dor_de_cabeça,visão_turva,fome_excessiva,rigidez_no_pescoço,depressão,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,visão_turva,fome_excessiva,rigidez_no_pescoço,depressão,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,fome_excessiva,rigidez_no_pescoço,depressão,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,visão_turva,rigidez_no_pescoço,depressão,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,visão_turva,fome_excessiva,depressão,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,visão_turva,fome_excessiva,rigidez_no_pescoço,irritabilidade,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,visão_turva,fome_excessiva,rigidez_no_pescoço,depressão,distúrbios_visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor_de_cabeça,visão_turva,fome_excessiva,rigidez_no_pescoço,depressão,irritabilidade,,,,,,,,,
Espondilose cervical,dor_nas_costas,fraqueza_nos_membros,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,fraqueza_nos_membros,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,
Espondilose cervical,fraqueza_nos_membros,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,fraqueza_nos_membros,tontura,perda_de_equilíbrio,,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,fraqueza_nos_membros,dor_no_pescoço,perda_de_equilíbrio,,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,fraqueza_nos_membros,dor_no_pescoço,tontura,,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,fraqueza_nos_membros,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,
Espondilose cervical,fraqueza_nos_membros,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,,
Espondilose cervical,dor_nas_costas,dor_no_pescoço,tontura,perda_de_equilíbrio,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,dor_de_cabeça,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,dor_de_cabeça,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),dor_de_cabeça,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,dor_de_cabeça,alteração_sensorial,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,dor_de_cabeça,fraqueza_em_um_lado_do_corpo,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,dor_de_cabeça,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),dor_de_cabeça,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,fraqueza_em_um_lado_do_corpo,alteração_sensorial,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômito,dor_de_cabeça,alteração_sensorial,,,,,,,,,,,,,,
Icterícia,coceira,vômito,fadiga,perda_de_peso,febre_alta,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,
Icterícia,coceira,vômito,fadiga,perda_de_peso,febre_alta,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,
Icterícia,vômito,fadiga,perda_de_peso,febre_alta,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,,
Icterícia,coceira,fadiga,perda_de_peso,febre_alta,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,,
Icterícia,coceira,vômito,perda_de_peso,febre_alta,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,,
Icterícia,coceira,vômito,fadiga,febre_alta,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,,
Icterícia,coceira,vômito,fadiga,perda_de_peso,pele_amarelada,urina_escura,dor_abdominal,,,,,,,,,,
Icterícia,coceira,vômito,fadiga,perda_de_peso,febre_alta,urina_escura,dor_abdominal,,,,,,,,,,
Icterícia,coceira,vômito,fadiga,perda_de_peso,febre_alta,pele_amarelada,dor_abdominal,,,,,,,,,,
Icterícia,coceira,vômito,fadiga,perda_de_peso,febre_alta,pele_amarelada,urina_escura,,,,,,,,,,
Malária,calafrios,vômito,febre_alta,suor_excessivo,dor_de_cabeça,náusea,dor_muscular,,,,,,,,,,
Malária,calafrios,vômito,febre_alta,suor_excessivo,dor_de_cabeça,náusea,diarreia,dor_muscular,,,,,,,,,
Malária,calafrios,vômito,febre_alta,suor_excessivo,dor_de_cabeça,náusea,diarreia,dor_muscular,,,,,,,,,
Malária,vômito,febre_alta,suor_excessivo,dor_de_cabeça,náusea,diarreia,dor_muscular,,,,,,,,,,
Malária,calafrios,febre_alta,suor_excessivo,dor_de_cabeça,náusea,diarreia,dor_muscular,,,,,,,,,,
Malária,calafrios,vômito,suor_excessivo,dor_de_cabeça,náusea,diarreia,dor_muscular,,,,,,,,,,
Malária,calafrios,vômito,febre_alta,dor_de_cabeça,náusea,diarreia,dor_muscular,,,,,,,,,,
Malária,calafrios,vômito,febre_alta,suor_excessivo,náusea,diarreia,dor_muscular,,,,,,,,,,
Malária,calafrios,vômito,febre_alta,suor_excessivo,dor_de_cabeça,diarreia,dor_muscular,,,,,,,,,,
Malária,calafrios,vômito,febre_alta,suor_excessivo,dor_de_cabeça,náusea,dor_muscular,,,,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,letargia,febre_alta,dor_de_cabeça,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,
Catapora,erupção_cutânea,fadiga,letargia,febre_alta,dor_de_cabeça,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,fadiga,letargia,febre_alta,dor_de_cabeça,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,letargia,febre_alta,dor_de_cabeça,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,febre_alta,dor_de_cabeça,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,letargia,dor_de_cabeça,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,letargia,febre_alta,perda_de_apetite,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,letargia,febre_alta,dor_de_cabeça,febre_leve,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,letargia,febre_alta,dor_de_cabeça,perda_de_apetite,linfonodos_inchados,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Catapora,coceira,erupção_cutânea,fadiga,letargia,febre_alta,dor_de_cabeça,perda_de_apetite,febre_leve,mal_estar,manchas_vermelhas_no_corpo,,,,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,dor_muscular,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,
Dengue,calafrios,dor_nas_articulações,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,dor_nas_articulações,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,fadiga,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,vômito,febre_alta,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,,
Dengue,erupção_cutânea,calafrios,dor_nas_articulações,vômito,fadiga,dor_de_cabeça,náusea,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,mal_estar,dor_muscular,manchas_vermelhas_no_corpo,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,náusea,constipação,dor_abdominal,diarreia,aparência_tóxica,dor_na_barriga,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,constipação,dor_abdominal,diarreia,aparência_tóxica,dor_na_barriga,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,dor_abdominal,diarreia,aparência_tóxica,dor_na_barriga,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,diarreia,aparência_tóxica,dor_na_barriga,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,dor_abdominal,aparência_tóxica,dor_na_barriga,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,dor_abdominal,diarreia,dor_na_barriga,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,dor_abdominal,diarreia,aparência_tóxica,,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,dor_abdominal,diarreia,aparência_tóxica,dor_na_barriga,,,,,,
Febre tifoide,calafrios,vômito,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,dor_abdominal,diarreia,aparência_tóxica,dor_na_barriga,,,,,,
Febre tifoide,calafrios,fadiga,febre_alta,dor_de_cabeça,náusea,constipação,dor_abdominal,diarreia,aparência_tóxica,dor_na_barriga,,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,urina_escura,náusea,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,urina_escura,náusea,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,
Hepatite A,vômito,pele_amarelada,urina_escura,náusea,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,pele_amarelada,urina_escura,náusea,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,vômito,urina_escura,náusea,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,urina_escura,perda_de_apetite,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,urina_escura,náusea,dor_abdominal,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,urina_escura,náusea,perda_de_apetite,diarreia,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite A,dor_nas_articulações,vômito,pele_amarelada,urina_escura,náusea,perda_de_apetite,dor_abdominal,febre_leve,amarelamento_dos_olhos,dor_muscular,,,,,,,
Hepatite B,coceira,fadiga,letargia,pele_amarelada,urina_escura,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,
Hepatite B,coceira,fadiga,letargia,pele_amarelada,urina_escura,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,
Hepatite B,fadiga,letargia,pele_amarelada,urina_escura,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,,
Hepatite B,coceira,letargia,pele_amarelada,urina_escura,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,,
Hepatite B,coceira,fadiga,pele_amarelada,urina_escura,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,,
Hepatite B,coceira,fadiga,letargia,urina_escura,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,,
Hepatite B,coceira,fadiga,letargia,pele_amarelada,perda_de_apetite,dor_abdominal,urina_amarela,amarelamento_dos_olhos,mal_estar,recebeu_transfusão_de_sangue,recebeu_injeções_não_esterilizadas,,,,,,
